date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1990-09-04,582015,4912788,Main Chann. Bord.,1990,3,04,T,NA,24.7,2.19,NA,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639460,4839475,Other,1990,3,08,T,63,23.4,3.3,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639481,4840883,Other,1990,3,08,T,63,23.4,6.9,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639486,4839054,Other,1990,3,08,T,63,23.4,3.2,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639519,4840522,Other,1990,3,08,T,63,23.4,5.5,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639528,4839807,Main Chann. Bord.,1990,3,08,T,63,23.4,3.3,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639556,4839783,Other,1990,3,08,T,63,23.4,4,NA,0.46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639685,4839843,Main Chann. Bord.,1990,3,08,H,60,23.5,3,NA,0.34,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,639696,4839485,Main Chann. Bord.,1990,3,08,H,60,23.5,3,NA,0.34,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,639345,4839855,Main Chann. Bord.,1990,3,08,D,47,23.8,2,396,0.15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,639411,4840192,Main Chann. Bord.,1990,3,08,D,47,23.8,2,396,0.15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,641142,4847725,Main Chann. Bord.,1990,3,08,D,62,24.2,1.8,367,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,641142,4847725,Main Chann. Bord.,1990,3,08,H,56,24.6,3,NA,0.33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,641188,4848044,Main Chann. Bord.,1990,3,08,H,56,24.6,3,NA,0.33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,641188,4848044,Main Chann. Bord.,1990,3,08,D,62,24.2,1.8,367,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-05,730085,4670904,Other,1990,3,13,H,31,28.2,3,333,0.12,NA,NA,NA,0,1,0,0,0,0,1,0,1,0
1990-09-06,575297,4916802,Main Chann. Bord.,1990,3,04,H,113,24,2.25,NA,0.1,NA,NA,NA,0,0,2,0,19,3,5,2,4,3
1990-09-06,575297,4916802,Main Chann. Bord.,1990,3,04,H,133,24.4,2.96,NA,0.11,NA,NA,NA,0,0,2,0,19,3,5,2,4,3
1990-09-06,582015,4912788,Main Chann. Bord.,1990,3,04,H,112,24.5,1.92,NA,0.26,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,582015,4912788,Main Chann. Bord.,1990,3,04,H,114,24.3,2.96,NA,0.16,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,639685,4839843,Main Chann. Bord.,1990,3,08,T,65,24.7,2.3,NA,0.15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,639696,4839485,Main Chann. Bord.,1990,3,08,T,65,24.7,2.7,NA,0.15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,730085,4670904,Other,1990,3,13,T,31,26.5,3,333,0.12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,730085,4670904,Other,1990,3,13,T,31,28.2,3,333,0.12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,730172,4671002,Other,1990,3,13,T,30,26.5,5.3,333,0.51,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-06,730172,4671002,Other,1990,3,13,T,30,26.5,5.3,335,0.51,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-07,533804,4939013,Main Chann. Bord.,1990,3,04,D,NA,25,1.2,495,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-07,533804,4939013,Main Chann. Bord.,1990,3,04,D,NA,25,1.05,495,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,636921,4857744,Other,1990,3,08,T,52,23.5,6.1,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,636921,4857744,Other,1990,3,08,T,52,23.5,7.6,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637010,4856532,Other,1990,3,08,T,52,23.5,5.1,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637097,4856622,Main Chann. Bord.,1990,3,08,T,43,23.5,3,NA,0.09,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637326,4856025,Main Chann. Bord.,1990,3,08,T,43,23.5,3.3,NA,0.09,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637326,4856025,Other,1990,3,08,T,52,23.5,5.1,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637564,4855771,Other,1990,3,08,T,52,23.5,6.7,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,637795,4855271,Other,1990,3,08,T,52,23.5,5.2,NA,0.24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,640631,4845514,Other,1990,3,08,T,58,24.2,4.5,NA,0.42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,640719,4845867,Other,1990,3,08,T,58,24.2,4.1,NA,0.42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,640785,4846220,Other,1990,3,08,T,58,24.2,4,NA,4.2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,640846,4846569,Other,1990,3,08,T,58,24.2,4.6,NA,0.42,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
1990-09-10,640922,4846913,Other,1990,3,08,T,58,24.2,4.8,NA,0.42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,641041,4847278,Other,1990,3,08,T,58,24.2,4.8,NA,0.42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,641142,4847725,Main Chann. Bord.,1990,3,08,T,50,24.4,2.4,NA,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,641185,4848070,Main Chann. Bord.,1990,3,08,T,50,24.4,3.2,NA,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-10,735960,4647247,Impoundment,1990,3,13,T,40,28.5,7.1,0,0.18,NA,NA,NA,0,1,0,0,0,0,0,0,0,0
1990-09-10,735960,4647247,Impoundment,1990,3,13,T,40,28.5,7.1,359,0.18,NA,NA,NA,0,1,0,0,0,0,0,0,0,0
1990-09-11,637174,4856432,Main Chann. Bord.,1990,3,08,H,47,24,3.4,NA,0.04,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-11,637477,4855998,Main Chann. Bord.,1990,3,08,H,47,24,3.4,NA,0.04,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-11,639685,4839843,Main Chann. Bord.,1990,3,08,H,56,24,2.8,NA,0.12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-11,639696,4839485,Main Chann. Bord.,1990,3,08,H,56,24.2,2.8,NA,0.12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-11,735665,4647530,Main Chann. Bord.,1990,3,13,T,32,25.3,5.21,263,0.18,NA,NA,NA,0,2,0,0,0,0,0,0,0,0
1990-09-11,735783,4647542,Impoundment,1990,3,13,T,32,25.3,5.21,0,0.18,NA,NA,NA,1,4,0,0,0,0,0,0,0,0
1990-09-11,735960,4647247,Impoundment,1990,3,13,T,40,28.5,7.1,359,0.18,NA,NA,NA,2,3,0,0,0,0,0,0,0,0
