occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
1,726958,4670201,13,2,78,24.5,0.7,318,0,6.6
0,725758,4670301,13,3,NA,NA,NA,NA,NA,NA
1,728058,4670101,13,3,128,8.4,1.4,420,0,11.4
0,727208,4671101,13,1,NA,NA,NA,NA,NA,NA
1,726858,4671401,13,2,52,27.4,1,561,0,4.9
1,727808,4670051,13,1,72,26.9,1.2,406,0,10.8
1,727758,4670101,13,2,82,25.5,0.9,433,0,5.2
1,728008,4670051,13,1,38,27.5,0.7,421,0,8.9
0,726708,4670051,13,3,NA,NA,NA,NA,NA,NA
1,727558,4670051,13,3,60,12.2,0.6,409,0,9.6
0,725758,4670701,13,2,NA,NA,NA,NA,NA,NA
1,727358,4670751,13,1,60,27.3,0.8,402,0,6.3
1,725758,4672451,13,1,56,23,1.5,435,0,6.1
0,721258,4674351,13,3,NA,NA,NA,NA,NA,NA
0,721458,4674150,13,3,NA,NA,NA,NA,NA,NA
0,721258,4674351,13,1,NA,NA,NA,NA,NA,NA
1,720908,4674351,13,2,66,22.5,0.9,301,0,7.5
0,721108,4674150,13,2,NA,NA,NA,NA,NA,NA
0,720858,4674401,13,2,NA,NA,NA,NA,NA,NA
1,719808,4676351,13,3,40,19,0.7,360,0,6.7
0,719558,4676551,13,1,NA,NA,NA,NA,NA,NA
1,719258,4676751,13,1,32,23.1,1,429,0,5.8
0,719458,4676701,13,1,44,27,1,331,0.05,12.1
0,719308,4676751,13,1,NA,NA,NA,NA,NA,NA
1,719308,4676851,13,2,46,24.2,0.8,434,0,8.8
1,718908,4677101,13,2,23,19.1,0.9,392,0,6.6
0,718808,4677100,13,1,38,26.8,0.8,503,0,5.1
1,718958,4677050,13,1,38,26.9,0.7,503,0,5.1
0,719058,4676950,13,2,NA,NA,NA,NA,NA,NA
1,718508,4677201,13,2,29,24.3,0.8,416,0.09,9.7
1,716858,4677750,13,2,38,27.8,0.8,423,0,5.4
1,716758,4677851,13,2,28,19.2,0.9,408,0,6.7
1,719058,4677750,13,1,40,26,0.6,533,0,5.5
1,719058,4677751,13,1,33,22.7,0.7,397,0,6.6
1,715908,4679300,13,2,36,27.7,1,413,0,6.2
0,715508,4679801,13,3,NA,NA,NA,NA,NA,NA
0,716108,4679701,13,3,NA,NA,NA,NA,NA,NA
0,715358,4680351,13,1,NA,NA,NA,NA,NA,NA
1,715558,4679801,13,1,22,22.6,0.7,460,0,5.6
1,715758,4679701,13,1,54,26.3,1.2,420,0,9
1,716008,4679301,13,1,52,26.9,0.9,476,0,9.3
0,715908,4679501,13,2,NA,NA,NA,NA,NA,NA
1,733508,4648001,13,3,60,20.7,0.6,464,0,4.3
1,733808,4646401,13,3,50,21,0.5,450,0,5
0,733408,4647551,13,2,NA,NA,NA,NA,NA,NA
1,733758,4644701,13,2,110,26.5,0.7,268,0,6.4
1,733708,4645751,13,2,100,27.4,1,312,0,6.2
1,733558,4646801,13,2,110,26.9,1,355,0,3.1
1,733558,4647001,13,2,70,21.7,0.7,507,0,0.6
1,733708,4646151,13,2,70,23.9,1,378,0,3.9
1,733758,4645001,13,2,74,23.7,0.8,452,0,3.4
0,733858,4645251,13,2,120,23.7,0.9,452,0,4
0,733508,4647101,13,2,70,22.9,0.8,420,0,4.9
1,733708,4645851,13,3,26,18.5,0.6,402,0,8.4
1,733858,4645301,13,2,120,20.1,1.2,440,0,9.5
1,733408,4647751,13,3,60,18.5,0.6,475,0,6.3
0,733808,4648351,13,3,NA,NA,NA,NA,NA,NA
1,733708,4645901,13,3,60,16.4,0.6,352,0,8.6
1,733808,4645351,13,2,80,25.5,0.8,391,0,6.7
0,733708,4645801,13,3,58,15.2,0.8,429,0,5.2
0,733458,4647301,13,2,72,23.9,0.5,469,0,3.8
1,733758,4644851,13,2,110,26.6,1.2,408,0,4.6
0,733458,4647951,13,3,NA,NA,NA,NA,NA,NA
1,733658,4646651,13,3,140,12.3,0.7,264,0,5.4
1,733658,4646551,13,3,100,20.3,1,394,0,8.6
0,733558,4646951,13,2,125,21.5,0.7,351,0,2.5
1,733858,4645301,13,1,79,25.6,1.1,465,0.11,4.2
1,733658,4648201,13,1,62,27.7,0.85,422,0,5.9
1,733758,4644801,13,1,74,28,0.98,419,0,6.4
0,733458,4647301,13,1,50,25.6,0.7,373,0,6.9
0,733658,4646551,13,1,50,26.9,0.6,382,0,9.3
0,733858,4644251,13,2,60,26.8,0.6,392,0,9.2
1,733658,4646601,13,2,70,22.4,0.7,392,0,7.2
0,733658,4646751,13,2,80,26.8,0.8,390,0,10.6
0,733458,4647851,13,2,NA,NA,NA,NA,NA,NA
0,733758,4645401,13,2,60,26.9,0.6,451,0,10.3
0,733808,4644451,13,3,50,16.8,0.9,478,0,6
1,733658,4646551,13,3,80,16.7,0.8,507,0,3.9
1,733758,4645001,13,1,50,30.1,0.5,518,0,12
0,733858,4645301,13,1,70,24.5,0.7,407,0,10.5
0,733458,4647301,13,1,68,25.9,0.8,354,0,5.5
0,733908,4648401,13,1,NA,NA,NA,NA,NA,NA
0,733708,4646501,13,1,48,26.4,0.7,364,0,5
0,733708,4648201,13,3,70,18.6,0.7,487,0,3.2
1,733708,4645851,13,3,56,21.2,1,368,0,9.6
0,733708,4646101,13,3,56,15.2,0.7,427,0,5.2
1,733808,4646451,13,1,76,25.6,0.9,322,0,9.1
1,733758,4644801,13,1,40,26.8,1.1,362,0,6.6
0,733758,4644801,13,1,70,26.6,0.9,456,0.05,6.1
0,733758,4645601,13,1,104,27.9,0.7,444,0,9.6
0,733458,4647251,13,3,128,22.2,1.3,318,0,7.1
1,733658,4646601,13,2,80,24,0.8,449,0,6.1
1,733758,4645201,13,2,80,24.2,0.8,442,0,6
0,733758,4644551,13,2,70,20.6,0.7,441,0,6
1,733808,4645351,13,3,140,23.6,0.9,380,0,9.6
0,733708,4646301,13,1,125,26.5,1,377,0,6.7
0,733808,4645401,13,2,80,25.8,0.8,356,0,8.8
0,733758,4644651,13,1,42,26.5,1,376,0.07,6.4
1,733758,4644701,13,2,68,24.3,0.7,445,0,7.2
0,733758,4646501,13,2,64,24.3,0.7,442,0,7.4
0,733708,4648201,13,1,NA,NA,NA,NA,NA,NA
1,733508,4647051,13,1,38,24,0.8,498,0,8.2
1,733458,4647200,13,3,50,11.6,0.5,396,0,9.3
1,733658,4646600,13,3,50,11.9,0.5,390,0,9
1,733758,4645450,13,3,50,11.9,0.6,390,0,9
1,733758,4644700,13,3,70,12.1,0.7,425,0,7.3
1,733758,4645401,13,3,70,20.1,0.8,396,0,8.4
1,733758,4645151,13,3,60,21.5,0.7,387,0,6.5
0,733758,4644901,13,3,61,21.6,0.9,396,0,5.4
0,733808,4648351,13,3,NA,NA,NA,NA,NA,NA
0,733508,4648001,13,1,50,25.1,0.7,423,0,7.7
0,733658,4648101,13,1,NA,NA,NA,NA,NA,NA
0,733758,4646501,13,1,158,26,1.3,465,0.18,2.5
1,733758,4645501,13,3,20,20,0.6,410,0,7
1,736408,4643100,13,1,60,28.2,0.6,354,0,3.8
0,736408,4643050,13,1,70,28.4,0.7,350,0,3.6
1,736258,4642700,13,1,40,28.4,0.4,353,0,2.8
1,736208,4642600,13,1,50,28.3,0.5,355,0,2.8
1,736358,4643151,13,3,80,17.4,0.8,383,0,9
1,738358,4650401,13,3,45,18.9,0.7,391,0,10.6
1,738508,4649851,13,3,48,17.3,1.1,344,0.11,8.5
